bucket,source,blocker_class,events,targets
2026-05-25T21:00:00Z,PR controller,consumed owner evidence,13,PR07C/HOLD-07C
2026-05-25T21:00:00Z,critical-path launches,critical-path launch,3,productive-analysis-action
2026-05-25T21:30:00Z,PR controller,consumed owner evidence,15,PR07C/HOLD-07C
2026-05-25T21:30:00Z,critical-path launches,critical-path launch,1,productive-analysis-action
2026-05-25T22:00:00Z,PR controller,consumed owner evidence,15,PR07C/HOLD-07C
2026-05-25T22:00:00Z,critical-path launches,critical-path launch,3,productive-analysis-action
2026-05-25T22:30:00Z,PR controller,consumed owner evidence,16,PR07C/HOLD-07C
2026-05-25T22:30:00Z,critical-path launches,critical-path launch,2,productive-analysis-action
2026-05-25T23:00:00Z,PR controller,consumed owner evidence,18,PR07C/HOLD-07C
2026-05-25T23:00:00Z,PR controller,other,2,PR07C/HOLD-07C
2026-05-25T23:00:00Z,critical-path launches,critical-path launch,3,productive-analysis-action
2026-05-25T23:00:00Z,critical-path launches,deferred-family validation,1,reload-hydration
2026-05-25T23:30:00Z,PR controller,consumed owner evidence,12,PR07C/HOLD-07C
2026-05-25T23:30:00Z,PR controller,other,4,PR07C/HOLD-07C
2026-05-25T23:30:00Z,PR controller,single-flight/concurrency,2,PR07C/HOLD-07C
2026-05-25T23:30:00Z,critical-path launches,critical-path launch,3,productive-analysis-action
2026-05-25T23:30:00Z,critical-path launches,deferred-family validation,1,reload-hydration-followup
2026-05-26T00:00:00Z,PR controller,consumed owner evidence,12,PR07C/HOLD-07C
2026-05-26T00:00:00Z,PR controller,single-flight/concurrency,1,PR07C/HOLD-07C
2026-05-26T00:00:00Z,critical-path launches,critical-path launch,3,productive-analysis-action
2026-05-26T00:30:00Z,PR controller,consumed owner evidence,12,PR07C/HOLD-07C
2026-05-26T00:30:00Z,PR controller,single-flight/concurrency,1,PR07C/HOLD-07C
2026-05-26T00:30:00Z,critical-path launches,critical-path launch,3,productive-analysis-action
2026-05-26T01:00:00Z,PR controller,consumed owner evidence,13,PR07C/HOLD-07C
2026-05-26T01:00:00Z,PR controller,single-flight/concurrency,1,PR07C/HOLD-07C
2026-05-26T01:00:00Z,critical-path launches,critical-path launch,3,productive-analysis-action
2026-05-26T01:30:00Z,PR controller,consumed owner evidence,12,PR07C/HOLD-07C
2026-05-26T01:30:00Z,PR controller,single-flight/concurrency,1,PR07C/HOLD-07C
2026-05-26T01:30:00Z,critical-path launches,critical-path launch,3,productive-analysis-action
2026-05-26T01:30:00Z,critical-path launches,deferred-family validation,1,reload-hydration-repair
2026-05-26T02:00:00Z,PR controller,consumed owner evidence,12,PR07C/HOLD-07C
2026-05-26T02:00:00Z,PR controller,single-flight/concurrency,1,PR07C/HOLD-07C
2026-05-26T02:00:00Z,critical-path launches,critical-path launch,3,productive-analysis-action
2026-05-26T02:30:00Z,PR controller,consumed owner evidence,13,PR07C/HOLD-07C
